n;d;t;c
1000;1.2205588297444518e-06;297057;1777
1000;5.125160502435523e-07;308789;1774
1000;1.0970388636726398e-06;293951;1752
1000;6.848556937158919e-07;292499;1754
1000;7.484054262837685e-07;291967;1732
1000;1.1678328568262848e-07;371487;1791
1000;7.70292738424968e-07;322194;1753
1000;2.632257578050315e-07;305332;1721
1000;4.482078662219314e-07;290955;1722
1000;1.9826664893412986e-07;292859;1742
1000;8.67643573820862e-07;296686;1759
1000;7.233845468508965e-07;293350;1711
1000;1.072920946218363e-06;288611;1692
1000;4.796403119443586e-07;306816;1749
1000;7.870906534052327e-07;310672;1772
1000;6.96382933056201e-07;294623;1765
1000;6.030585185183168e-07;289383;1740
1000;2.497690257031845e-06;315852;1736
1000;8.049467430316651e-08;306785;1716
1000;1.0243879709979852e-07;300293;1786
1000;5.403461806324471e-07;305493;1730
1000;6.722198583297292e-07;294412;1736
1000;3.120212003966841e-06;292769;1727
1000;2.8180514184590125e-08;351449;1739
1000;1.1469695184782534e-07;301085;1764
1000;7.325276778842338e-07;290374;1711
1000;1.9713712614645447e-07;311684;1759
1000;2.741158401228115e-08;296546;1755
1000;9.003123538368178e-07;297348;1726
1000;1.1465355915544193e-06;314250;1705
1000;2.3765255140405286e-08;295424;1731
1000;8.888678087541598e-07;294072;1726
1000;6.320842108042592e-08;306014;1730
1000;8.367928687076347e-08;296376;1754
1000;1.1363412335340437e-06;289563;1709
1000;2.2734069796387583e-06;305754;1699
1000;3.872079862592794e-07;293720;1722
1000;7.261769446699813e-07;299562;1763
1000;1.6181081147380654e-06;305132;1689
1000;3.94678655826187e-07;305312;1761
1000;4.2830823547364796e-07;290534;1721
1000;5.967117391108937e-08;303989;1741
1000;7.087870673075832e-07;298299;1727
1000;3.8458897398592085e-07;290905;1709
1000;3.319395600321133e-07;303469;1724
1000;2.109629656477815e-06;292197;1727
1000;4.5874692720797314e-07;295815;1727
1000;6.747402315069866e-07;326462;1748
1000;2.526259610894198e-07;293480;1703
1000;3.1949265512757794e-07;300404;1747
1000;8.79587450069841e-07;582702;1714
1000;2.2043042962834732e-07;294903;1700
1000;6.171515467452968e-07;290464;1711
1000;1.5692169162503458e-06;332052;1741
1000;2.598765416741565e-06;294422;1698
1000;5.290993295809791e-07;284934;1670
1000;8.800599519672556e-07;312004;1753
1000;6.301747711222952e-08;292228;1727
1000;2.7751766891366003e-06;291847;1753
1000;3.9461556966820634e-07;300874;1682
1000;4.134752857101025e-07;296025;1754
1000;1.4119868144253323e-06;296045;1747
1000;1.1577572774779778e-06;306345;1755
1000;3.006574183187005e-07;293230;1704
1000;1.9991281056683055e-07;293701;1730
1000;8.893279315716024e-08;305433;1739
1000;2.915296648101557e-06;298770;1752
1000;8.726507184696592e-07;289813;1740
1000;6.30061522708389e-07;306274;1755
1000;5.539742973384901e-07;295885;1741
1000;1.5408132536171206e-07;313818;1758
1000;2.2814644875125562e-07;309020;1744
1000;1.9200689158721084e-07;295534;1743
1000;2.0892549503720727e-06;289202;1688
1000;8.541116584853689e-07;285926;1657
1000;3.2019541445975726e-07;302928;1789
1000;5.018921040928429e-08;295604;1743
1000;1.069589609766576e-06;290514;1736
1000;6.745099791750224e-07;301555;1694
1000;1.7774387808523765e-07;293931;1762
1000;5.856893867090705e-07;313989;1701
1000;1.5745376140154749e-06;309150;1785
1000;4.858459799200944e-07;292799;1718
1000;9.976060749213978e-08;291937;1766
1000;8.511098985714918e-07;336440;1708
1000;3.4512859495741596e-06;294833;1738
1000;4.805815651808271e-07;293811;1783
1000;6.132261855949317e-07;319158;1720
1000;1.418683767079052e-06;291276;1733
1000;7.836988493171629e-07;294803;1752
1000;1.2026130272330595e-06;318357;1718
1000;3.969274805706595e-07;292388;1731
1000;3.8011865823658905e-07;289243;1714
1000;3.4184075087533213e-06;302788;1711
1000;4.6518502758905213e-07;299812;1783
1000;1.1625456191445334e-07;290554;1705
1000;6.434031119070683e-07;305592;1716
1000;5.67607376714272e-07;288091;1691
1000;4.052730509527131e-07;291837;1737
1000;1.2378722958096862e-06;369596;1716
1000;2.572853579707504e-07;296807;1708
1000;4.0722925630958676e-07;292037;1739
1000;3.3869089731290307e-07;342909;1670
1000;2.1305306728056053e-07;299211;1763
1000;6.14048281139012e-07;291236;1724
1000;2.756605349228929e-07;305112;1730
1000;2.9395959007151924e-06;292278;1726
1000;1.3214707177375223e-06;293460;1711
1000;1.2444088017356132e-07;304320;1735
1000;1.4342771562689083e-06;305272;1723
1000;1.996776288353867e-06;297377;1750
1000;5.138087354694417e-07;321843;1723
1000;5.487538009899631e-07;294913;1746
1000;9.93623393463588e-07;290675;1694
1000;9.756370531275284e-08;294602;1776
1000;4.7309365694077857e-07;339747;1767
1000;1.0218808112478324e-06;292899;1727
1000;8.603294555823572e-07;295284;1771
1000;2.931656149147759e-08;467176;1755
1000;3.471432071335661e-07;291106;1697
1000;4.439184326602838e-07;310472;1767
1000;8.912948835048142e-07;297177;1755
1000;1.0436207307239591e-06;295744;1726
1000;5.203471506277985e-07;297198;1676
1000;3.422575143256037e-06;296987;1759
1000;4.0311845813331493e-07;293280;1764
1000;4.4997498220382087e-07;308097;1760
1000;6.261196908171046e-07;291507;1703
1000;7.619731186880808e-07;292589;1741
1000;4.797819282392758e-07;313919;1709
1000;3.4175265163719587e-07;294963;1731
1000;1.2374622728369939e-06;290325;1715
1000;6.897327068250794e-09;287419;1719
1000;2.6219074001291086e-06;331552;1689
1000;1.9932802342872856e-07;288932;1699
1000;5.21246634616084e-09;291847;1754
1000;3.095683749128857e-07;307817;1759
