n;d;t;c
500;0.0025730543719708087;623729;5448
500;0.001390661294234234;586529;5117
500;0.0017914301923234479;513232;4617
500;0.0005984703552265945;451797;3922
500;0.001075219340493481;519474;4839
500;0.000886554788310769;603331;5256
500;0.0027216812992599845;578584;5497
500;0.0019021908942150729;548858;4942
500;0.0023680251125361798;717976;4830
500;0.0020453355058231105;645360;4683
500;0.0012173104849307198;560862;5100
500;0.0015933663220806871;501029;4657
500;0.0010569809480902577;499396;4421
500;0.0006207171985953829;527068;4762
500;0.000286380761176725;528480;4701
500;0.001654396801227747;539511;4904
500;0.0018112910078400284;533531;5047
500;0.0001941996389472183;489769;4411
500;0.0003568580394716272;565601;4378
500;0.0005523182763558426;634479;5105
500;0.0026296320958347206;532348;5012
500;0.0011498466557441805;530675;4779
500;0.0003947232293585317;527780;4836
500;0.0017673391062131988;591629;4997
500;0.0003486753681974474;584852;5017
500;0.0005799027284302812;502051;4486
500;0.0005669270366804432;614804;5087
500;0.0002834726934672262;530224;4487
500;0.0004994925023734267;611226;4857
500;0.0019242752381506128;877520;5434
500;0.0008514359239859524;878807;4857
500;0.0007569743093041497;770294;4565
500;0.0005766635367850124;656210;4628
500;0.000330999569350651;1954428;4670
500;0.00018816764949630644;583123;4035
500;0.0008176917468518418;652403;4632
500;0.002067326486218945;680716;4894
500;0.00016488634881524158;650329;4391
500;0.000853594538262891;604533;4692
500;0.0009067304783472425;485139;4317
500;0.0014613867862855981;509515;4706
500;0.0008650680009513131;531617;4712
500;0.000854981525314056;443672;4032
500;0.0006933743059822294;475462;4221
500;0.00095809629898897;512952;4491
500;0.0007846692297976923;561674;4962
500;0.0007526843778417714;478236;4188
500;0.002109669614924291;534392;4763
500;0.0003802964484302832;507973;4494
500;0.0015154874038532705;510487;4756
1000;0.00042146704758019745;1339040;10304
1000;0.0006087535778456231;1578289;10752
1000;0.0006568901916112292;1663569;11554
1000;0.00048360886149237576;2713518;10772
1000;0.00044553922339419177;1570314;10572
1000;0.0008107513038093774;1354714;9896
1000;0.0004968688291114962;1307170;10644
1000;0.0013879663094821042;1567759;11783
1000;0.0009139803375891509;1336766;10963
1000;0.0010454839296907392;1459807;11425
1000;0.0006525396846416603;1278166;10774
1000;0.0006286000726511543;1233823;11301
1000;0.0002160514445289325;1325736;11861
1000;0.0011367700173570761;1768129;11011
1000;0.00020041438876330526;1726086;11087
1000;0.000387484334033141;1224426;10727
1000;5.1903455091244556e-05;1179070;10818
1000;0.0004894887262533777;1119780;9884
1000;0.0005825744314445931;1225478;11312
1000;0.0011526769433500095;1308964;12258
1000;0.00020680280407555846;1121001;10067
1000;0.00034282575295795315;1154414;10534
1000;0.00034255927229662;1226610;10612
1000;0.0005821744316084738;1149946;10640
1000;9.824605841615112e-05;1210319;11089
1000;0.001222398474134207;1725700;11629
1000;0.000941716188395837;1238422;11459
1000;0.000761702380050277;1127494;10258
1000;0.0012438882675222579;1202996;11081
1000;0.00029312838260266497;1187757;10574
1000;0.0008130395183873372;1240346;11388
1000;0.0012713557468421212;1242950;11411
1000;0.00043495920586879115;1225908;11310
1000;0.00025733735815114953;1269500;10512
1000;0.0008603843218141858;1258009;11327
1000;0.0007166272788171063;1456256;10659
1000;0.0004142233386695739;1169903;10663
1000;0.0006920712485697529;1275811;11517
1000;0.0003519043366394777;1167669;10674
1000;0.0006602049853332533;1202845;11188
1000;0.0006251974805201204;1180994;10608
1000;0.00014618550026552872;1197214;10897
1000;0.00048184150446041804;1210630;11141
1000;0.0006237588293266344;1438617;11680
1000;0.000328953609346897;1335884;10744
1000;0.0005256263685583739;1171286;10225
1000;0.00022373787583388282;1604407;10919
1000;0.0007302556390308277;1218244;10658
1000;0.0005335908758363651;1160015;10711
1000;0.0002911448518689203;1203356;10364
1000;0.0007038146693343901;1223855;10851
1000;0.000424796588729331;1164724;10669
1000;0.000350885100345769;1216942;11079
1000;0.0011192568749166213;1248441;11132
1000;0.000781394958037991;1428628;10960
1000;0.00020220034029197795;1156117;10178
1000;0.0005232647927630509;1162259;10667
1000;0.0003486629191321569;1701690;10236
1000;0.0012329658589545908;1177568;10846
1000;0.0009753562977424964;1190031;10917
1000;0.0011206467191173944;1202374;11067
1000;0.0006386059316073546;1164844;10718
1000;0.0003827264535296648;1169222;10434
1000;0.0007375313189515085;1180694;10810
1000;0.0006415265436085702;1450149;10992
1000;0.0004772384067747213;1540999;10573
1000;0.0004266842469813068;1615859;10909
1000;0.0005603379468603923;1612303;11004
1000;0.0006868434379526053;1418333;10338
1000;0.001126319563538608;1237857;11312
1000;0.0003067926270163068;1163801;10493
1000;0.00022242708460451063;1251697;10757
1000;0.00017486691921075946;1093350;9983
1000;0.00015711904818703967;1246967;11222
1000;0.000670614174029927;1585392;11223
1000;0.000571377519408292;1131251;10261
1000;0.0007821994300245597;1255373;11063
1000;0.00018254432563408402;1192125;11018
1000;0.000902248903332186;1590702;11724
1000;3.788236451699537e-05;1263178;10828
1000;0.00044054039081376954;1185042;10536
1000;0.0009870039342821072;1232210;11551
1000;0.0002703167337137077;1130149;10393
1000;0.0008472320286738698;1205640;11254
1000;0.0009939675212756567;1159985;10625
1000;0.0005712065035035897;1233944;11332
1000;0.00038604716688774753;1161527;10548
1000;0.0006321405090608238;1252959;11349
1000;0.00027392823921220543;1245535;11340
1000;0.000666992953353784;1454166;10999
1000;0.000730717920099793;1216481;11304
1000;0.0005208491024060955;1216691;11118
1000;0.0003392382001864808;1140959;10365
1000;0.0002232640510397195;1233924;11341
1000;0.0002596739305035587;1118517;10314
1000;0.00022270960935612662;1199188;11018
1000;0.0003431206272956519;1092638;9842
1000;0.0004710822577567391;1116944;10251
1000;0.0004833383702094706;1167899;10810
1000;0.000594210423289959;1285459;11031
1000;0.00040319495344960773;1419962;10438
1000;0.00045007637755668426;1169383;10869
1000;0.00047707498458244787;1170344;10686
1000;0.0003750488905835855;1274159;11269
1000;0.00039670557663433177;1226329;11356
1000;0.00048425105032420503;1213946;11327
1000;0.0005782818241956706;1239784;11416
1000;0.00028637307972689504;1036584;9394
1000;0.0009342417612396497;1221671;11435
1000;0.0006952818747252389;1253079;11302
1000;0.00047233624907958173;1187807;11004
1000;0.0010556478776139052;1581876;11417
1000;0.0002665590580263524;1171607;10750
1000;0.0005535675815196784;1155507;10649
1000;0.0006683314748505313;1143504;10436
1000;0.0008679013375462879;1239444;10878
1000;0.00023220303731862863;1084253;9786
1000;0.0003666609144081187;1155726;10467
1000;0.0005040368435174024;1175894;10924
1000;0.0003162980930905883;1109330;10135
1000;0.0006435434294282008;1150597;10521
1000;0.000779258783667455;1243351;11511
1000;0.0006344750028997182;1369323;10676
1000;3.5194636001839995e-05;1060017;9410
1000;0.00026637847758553227;1261555;11175
1000;0.0003662828642944846;1113207;10195
1000;0.00032876249227428077;1112666;10112
1000;0.0007436675128274517;1195101;11028
1000;0.0005291888881847596;1256907;11181
