n;d;t;c
500;6.183789240538718e-06;138900;857
500;1.857971635093861e-07;160250;850
500;5.4440125338549285e-06;142868;858
500;4.020028667681749e-06;143969;881
500;4.149013261030827e-06;154230;882
500;6.864422014912313e-07;138770;839
500;0;137338;845
500;2.5401084418560326e-07;147156;869
500;2.5541757850974907e-06;140503;860
500;2.8488056293794468e-06;140654;870
500;0;139371;858
500;0;142858;859
500;6.24034963971933e-07;140894;858
500;3.119909208888522e-06;137317;853
500;7.077146216357315e-06;136857;845
500;1.963817574907481e-07;140273;876
500;2.2158053303096186e-06;142016;892
500;5.440730774799626e-06;152677;842
500;1.771676484911473e-05;145423;893
500;0;140102;864
500;2.578214829192619e-07;140684;874
500;3.1409141990940645e-06;139872;882
500;2.4032442649236587e-06;141194;871
500;0;153407;876
500;3.5601138381105272e-06;143349;881
500;0;138840;859
500;5.536099545572861e-06;139582;862
500;2.9090881797874165e-06;140473;881
500;8.230810228174966e-07;140593;869
500;0;140483;880
500;0;153036;867
500;4.785576229422036e-06;142256;879
500;2.5345767710812486e-06;172223;869
500;8.736311879839729e-07;140374;863
500;2.2224163037582457e-06;137839;860
500;2.21652614735367e-06;140543;892
500;1.0475086183206033e-06;150752;838
500;7.025887392785778e-08;143289;863
500;2.013517742416794e-07;139541;866
500;1.5055141259667961e-06;138670;866
500;4.626794099837122e-06;139512;861
500;5.18818637671624e-06;137217;855
500;6.042223495062134e-06;140693;872
500;1.6678219038200173e-06;157745;898
500;3.3785412095685783e-06;142016;891
500;3.386345095932761e-06;138640;859
500;1.2742750050230745e-06;142136;886
500;4.395677250471658e-06;145242;896
500;2.67546409240269e-06;141886;883
500;1.8420574824520747e-06;220258;884
500;1.2804606227611037e-06;158548;879
500;8.080307210255523e-06;138610;866
500;2.1188777042294267e-06;141585;876
500;5.2407942382516335e-06;139071;861
500;3.516027514519962e-06;142737;885
500;0;153497;853
500;1.4625969927648291e-06;144190;867
500;0;140924;884
500;5.22225386724014e-06;138590;863
500;2.6885052823271327e-06;139281;865
500;3.7868530528714127e-06;136506;845
500;3.0369275465980656e-07;139912;879
500;0;161402;858
500;5.318631675752498e-07;144912;890
500;2.582658523867305e-06;143379;878
500;6.264947915185647e-06;138640;889
500;0;134783;816
500;3.762293633974758e-06;136837;830
500;4.177853524690858e-06;156163;864
500;7.009711495604033e-06;142778;864
500;7.68238028497515e-06;140203;870
500;0;138339;869
500;9.820002246142385e-07;145533;881
500;2.0979227076518794e-07;149700;871
500;4.784618861620123e-06;165009;868
500;6.76991998761736e-06;351158;892
500;2.5638037324204052e-06;146254;874
500;1.9329241412195784e-06;162624;910
500;0;147286;873
500;2.3698953338863685e-07;158387;874
500;3.1368825968524365e-07;144100;886
500;0;143078;881
500;8.527646749089901e-07;140363;864
500;0;142988;889
500;3.6684687757815412e-06;143069;870
500;1.24257499945224e-06;161873;888
500;1.6403597105778896e-05;142637;847
500;4.106731041032257e-06;141255;875
500;8.299926535065506e-07;143930;904
500;0;141295;872
500;0;138550;852
